[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39252 || MENSAJE CLIENTE: HELO


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39260 || MENSAJE CLIENTE: RESPUESTA 67


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39260 || MENSAJE CLIENTE: RESPUESTA 110


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 220 Servicio Preparado
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39252 || MENSAJE CLIENTE: HOLA


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: HOLA


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 250 Adivina el valor entre 0 y 100#4
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39252 || MENSAJE CLIENTE: no lo se


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39260 || MENSAJE CLIENTE: +


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA no lo se


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39252 || MENSAJE CLIENTE: RESPUESTA 67


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39260 || MENSAJE CLIENTE: RESPUESTA 51


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta enviada al servidor: nogal.fis.usal.es || IP: 212.128.144.105 || PROTOCOLO: TCP || PUERTO: 39266 || MENSAJE CLIENTE: RESPUESTA 67


[FECHA Y HORA DEL COMIENZO]:  12-12-2023 | 04 20 26 || Respuesta recibida del servidor: nogal.fis.usal.es || IP: 0.0.0.0 || PROTOCOLO: TCP || PUERTO: 0 || MENSAJE SERVIDOR: 500 Error de sintaxis
